filename,group,study,ntips,dated
condamine_Meliphagidae.nwk,condamine_Meliphagidae,Condamine 2019,177,TRUE
condamine_Meropidae.nwk,condamine_Meropidae,Condamine 2019,26,TRUE
condamine_Mimidae.nwk,condamine_Mimidae,Condamine 2019,34,TRUE
condamine_Momotidae.nwk,condamine_Momotidae,Condamine 2019,10,TRUE
condamine_Monarchidae.nwk,condamine_Monarchidae,Condamine 2019,87,TRUE
condamine_Motacillidae.nwk,condamine_Motacillidae,Condamine 2019,62,TRUE
condamine_Muscicapidae.nwk,condamine_Muscicapidae,Condamine 2019,279,TRUE
condamine_Musophagidae.nwk,condamine_Musophagidae,Condamine 2019,23,TRUE
condamine_Nectariniidae.nwk,condamine_Nectariniidae,Condamine 2019,127,TRUE
condamine_Odontophoridae.nwk,condamine_Odontophoridae,Condamine 2019,34,TRUE
condamine_Oriolidae.nwk,condamine_Oriolidae,Condamine 2019,30,TRUE
condamine_Otididae.nwk,condamine_Otididae,Condamine 2019,25,TRUE
condamine_Pachycephalidae.nwk,condamine_Pachycephalidae,Condamine 2019,50,TRUE
condamine_Paradisaeidae.nwk,condamine_Paradisaeidae,Condamine 2019,40,TRUE
condamine_Paridae.nwk,condamine_Paridae,Condamine 2019,53,TRUE
condamine_Parulidae.nwk,condamine_Parulidae,Condamine 2019,109,TRUE
condamine_Passeridae.nwk,condamine_Passeridae,Condamine 2019,48,TRUE
condamine_Pellorneidae.nwk,condamine_Pellorneidae,Condamine 2019,66,TRUE
condamine_Petroicidae.nwk,condamine_Petroicidae,Condamine 2019,44,TRUE
condamine_Phalacrocoracidae.nwk,condamine_Phalacrocoracidae,Condamine 2019,33,TRUE
condamine_Phasianidae.nwk,condamine_Phasianidae,Condamine 2019,176,TRUE
condamine_Phylloscopidae.nwk,condamine_Phylloscopidae,Condamine 2019,71,TRUE
condamine_Picidae.nwk,condamine_Picidae,Condamine 2019,223,TRUE
condamine_Pipridae.nwk,condamine_Pipridae,Condamine 2019,52,TRUE
condamine_Pittidae.nwk,condamine_Pittidae,Condamine 2019,31,TRUE
condamine_Platysteiridae.nwk,condamine_Platysteiridae,Condamine 2019,30,TRUE
condamine_Ploceidae.nwk,condamine_Ploceidae,Condamine 2019,108,TRUE
condamine_Podargidae.nwk,condamine_Podargidae,Condamine 2019,15,TRUE
